,,,,
FSO15 - IR date,,,,
,,,,
,,,,
cm-1,%T,,,
3482,102.03,,,
3481,102.05,,,
3480,102.08,,,
3479,102.11,,,
3478,102.12,,,
3477,102.09,,,
3476,102.06,,,
3475,102.03,,,
3474,102.02,,,
3473,102.01,,,
3472,101.99,,,
3471,101.96,,,
3470,101.94,,,
3469,101.93,,,
3468,101.92,,,
3467,101.91,,,
3466,101.89,,,
3465,101.87,,,
3464,101.83,,,
3463,101.8,,,
3462,101.79,,,
3461,101.79,,,
3460,101.79,,,
3459,101.78,,,
3458,101.74,,,
3457,101.7,,,
3456,101.67,,,
3455,101.65,,,
3454,101.64,,,
3453,101.63,,,
3452,101.62,,,
3451,101.62,,,
3450,101.61,,,
3449,101.6,,,
3448,101.58,,,
3447,101.57,,,
3446,101.57,,,
3445,101.57,,,
3444,101.57,,,
3443,101.55,,,
3442,101.53,,,
3441,101.51,,,
3440,101.51,,,
3439,101.52,,,
3438,101.52,,,
3437,101.5,,,
3436,101.46,,,
3435,101.41,,,
3434,101.37,,,
3433,101.34,,,
3432,101.33,,,
3431,101.33,,,
3430,101.33,,,
3429,101.32,,,
3428,101.31,,,
3427,101.31,,,
3426,101.31,,,
3425,101.31,,,
3424,101.29,,,
3423,101.27,,,
3422,101.25,,,
3421,101.23,,,
3420,101.21,,,
3419,101.19,,,
3418,101.18,,,
3417,101.17,,,
3416,101.15,,,
3415,101.12,,,
3414,101.08,,,
3413,101.04,,,
3412,101.03,,,
3411,101.04,,,
3410,101.06,,,
3409,101.09,,,
3408,101.1,,,
3407,101.1,,,
3406,101.07,,,
3405,101.03,,,
3404,100.99,,,
3403,100.97,,,
3402,100.97,,,
3401,100.98,,,
3400,100.98,,,
3399,100.98,,,
3398,100.96,,,
3397,100.93,,,
3396,100.9,,,
3395,100.87,,,
3394,100.85,,,
3393,100.82,,,
3392,100.8,,,
3391,100.79,,,
3390,100.79,,,
3389,100.79,,,
3388,100.81,,,
3387,100.84,,,
3386,100.84,,,
3385,100.82,,,
3384,100.79,,,
3383,100.76,,,
3382,100.73,,,
3381,100.7,,,
3380,100.67,,,
3379,100.65,,,
3378,100.65,,,
3377,100.65,,,
3376,100.66,,,
3375,100.66,,,
3374,100.66,,,
3373,100.65,,,
3372,100.63,,,
3371,100.61,,,
3370,100.58,,,
3369,100.57,,,
3368,100.55,,,
3367,100.55,,,
3366,100.55,,,
3365,100.57,,,
3364,100.58,,,
3363,100.57,,,
3362,100.54,,,
3361,100.5,,,
3360,100.46,,,
3359,100.43,,,
3358,100.43,,,
3357,100.45,,,
3356,100.46,,,
3355,100.46,,,
3354,100.45,,,
3353,100.43,,,
3352,100.42,,,
3351,100.41,,,
3350,100.4,,,
3349,100.39,,,
3348,100.39,,,
3347,100.38,,,
3346,100.36,,,
3345,100.35,,,
3344,100.35,,,
3343,100.36,,,
3342,100.36,,,
3341,100.34,,,
3340,100.32,,,
3339,100.31,,,
3338,100.31,,,
3337,100.31,,,
3336,100.31,,,
3335,100.31,,,
3334,100.32,,,
3333,100.32,,,
3332,100.31,,,
3331,100.3,,,
3330,100.29,,,
3329,100.28,,,
3328,100.26,,,
3327,100.25,,,
3326,100.24,,,
3325,100.24,,,
3324,100.26,,,
3323,100.27,,,
3322,100.26,,,
3321,100.23,,,
3320,100.2,,,
3319,100.18,,,
3318,100.17,,,
3317,100.17,,,
3316,100.16,,,
3315,100.16,,,
3314,100.16,,,
3313,100.16,,,
3312,100.15,,,
3311,100.13,,,
3310,100.11,,,
3309,100.09,,,
3308,100.09,,,
3307,100.09,,,
3306,100.09,,,
3305,100.1,,,
3304,100.11,,,
3303,100.12,,,
3302,100.13,,,
3301,100.12,,,
3300,100.12,,,
3299,100.11,,,
3298,100.1,,,
3297,100.1,,,
3296,100.1,,,
3295,100.1,,,
3294,100.09,,,
3293,100.08,,,
3292,100.06,,,
3291,100.04,,,
3290,100.03,,,
3289,100.02,,,
3288,100.02,,,
3287,100.02,,,
3286,100.02,,,
3285,100.01,,,
3284,100,,,
3283,100,,,
3282,100,,,
3281,100,,,
3280,99.99,,,
3279,99.98,,,
3278,99.96,,,
3277,99.95,,,
3276,99.95,,,
3275,99.96,,,
3274,99.96,,,
3273,99.97,,,
3272,99.96,,,
3271,99.96,,,
3270,99.95,,,
3269,99.93,,,
3268,99.92,,,
3267,99.92,,,
3266,99.92,,,
3265,99.94,,,
3264,99.96,,,
3263,99.98,,,
3262,100,,,
3261,100.01,,,
3260,100.01,,,
3259,100,,,
3258,99.99,,,
3257,99.97,,,
3256,99.96,,,
3255,99.94,,,
3254,99.93,,,
3253,99.91,,,
3252,99.91,,,
3251,99.91,,,
3250,99.91,,,
3249,99.9,,,
3248,99.89,,,
3247,99.88,,,
3246,99.89,,,
3245,99.89,,,
3244,99.89,,,
3243,99.87,,,
3242,99.84,,,
3241,99.83,,,
3240,99.83,,,
3239,99.83,,,
3238,99.83,,,
3237,99.84,,,
3236,99.85,,,
3235,99.85,,,
3234,99.84,,,
3233,99.82,,,
3232,99.79,,,
3231,99.78,,,
3230,99.78,,,
3229,99.79,,,
3228,99.81,,,
3227,99.81,,,
3226,99.81,,,
3225,99.82,,,
3224,99.82,,,
3223,99.82,,,
3222,99.82,,,
3221,99.8,,,
3220,99.78,,,
3219,99.78,,,
3218,99.79,,,
3217,99.82,,,
3216,99.83,,,
3215,99.84,,,
3214,99.82,,,
3213,99.79,,,
3212,99.77,,,
3211,99.76,,,
3210,99.75,,,
3209,99.76,,,
3208,99.77,,,
3207,99.78,,,
3206,99.78,,,
3205,99.79,,,
3204,99.79,,,
3203,99.8,,,
3202,99.8,,,
3201,99.8,,,
3200,99.79,,,
3199,99.79,,,
3198,99.8,,,
3197,99.8,,,
3196,99.8,,,
3195,99.8,,,
3194,99.8,,,
3193,99.81,,,
3192,99.83,,,
3191,99.85,,,
3190,99.86,,,
3189,99.84,,,
3188,99.81,,,
3187,99.78,,,
3186,99.78,,,
3185,99.79,,,
3184,99.82,,,
3183,99.84,,,
3182,99.85,,,
3181,99.85,,,
3180,99.83,,,
3179,99.8,,,
3178,99.79,,,
3177,99.79,,,
3176,99.8,,,
3175,99.82,,,
3174,99.85,,,
3173,99.87,,,
3172,99.88,,,
3171,99.89,,,
3170,99.9,,,
3169,99.89,,,
3168,99.88,,,
3167,99.86,,,
3166,99.84,,,
3165,99.83,,,
3164,99.84,,,
3163,99.85,,,
3162,99.86,,,
3161,99.86,,,
3160,99.85,,,
3159,99.85,,,
3158,99.86,,,
3157,99.87,,,
3156,99.87,,,
3155,99.87,,,
3154,99.86,,,
3153,99.85,,,
3152,99.85,,,
3151,99.86,,,
3150,99.87,,,
3149,99.87,,,
3148,99.87,,,
3147,99.86,,,
3146,99.87,,,
3145,99.9,,,
3144,99.93,,,
3143,99.95,,,
3142,99.95,,,
3141,99.93,,,
3140,99.92,,,
3139,99.93,,,
3138,99.94,,,
3137,99.95,,,
3136,99.96,,,
3135,99.96,,,
3134,99.96,,,
3133,99.95,,,
3132,99.94,,,
3131,99.93,,,
3130,99.93,,,
3129,99.94,,,
3128,99.97,,,
3127,100.01,,,
3126,100.04,,,
3125,100.04,,,
3124,100.03,,,
3123,100.01,,,
3122,99.99,,,
3121,99.99,,,
3120,99.99,,,
3119,100,,,
3118,100.03,,,
3117,100.05,,,
3116,100.08,,,
3115,100.1,,,
3114,100.11,,,
3113,100.11,,,
3112,100.1,,,
3111,100.07,,,
3110,100.05,,,
3109,100.05,,,
3108,100.07,,,
3107,100.12,,,
3106,100.16,,,
3105,100.18,,,
3104,100.2,,,
3103,100.2,,,
3102,100.2,,,
3101,100.18,,,
3100,100.16,,,
3099,100.14,,,
3098,100.13,,,
3097,100.14,,,
3096,100.17,,,
3095,100.21,,,
3094,100.25,,,
3093,100.27,,,
3092,100.28,,,
3091,100.27,,,
3090,100.26,,,
3089,100.25,,,
3088,100.25,,,
3087,100.24,,,
3086,100.26,,,
3085,100.29,,,
3084,100.34,,,
3083,100.37,,,
3082,100.38,,,
3081,100.36,,,
3080,100.32,,,
3079,100.3,,,
3078,100.3,,,
3077,100.32,,,
3076,100.35,,,
3075,100.38,,,
3074,100.4,,,
3073,100.41,,,
3072,100.43,,,
3071,100.44,,,
3070,100.42,,,
3069,100.41,,,
3068,100.4,,,
3067,100.42,,,
3066,100.46,,,
3065,100.51,,,
3064,100.54,,,
3063,100.56,,,
3062,100.56,,,
3061,100.55,,,
3060,100.54,,,
3059,100.52,,,
3058,100.52,,,
3057,100.54,,,
3056,100.57,,,
3055,100.6,,,
3054,100.62,,,
3053,100.62,,,
3052,100.6,,,
3051,100.59,,,
3050,100.58,,,
3049,100.57,,,
3048,100.56,,,
3047,100.56,,,
3046,100.6,,,
3045,100.64,,,
3044,100.68,,,
3043,100.7,,,
